Room 1-1
RoomSize=597
Life Count=1
BlockPics=BlockPics/196608.png
EdgePics=EdgePics/131084.png
ExtrasPic=ExtrasPic/196617.png
StripPics=StripPics/131082.png
TilesPics=TilesPics/131074-2.png
StageName=Green Hill Fever Recreated
ActNumber=1
Music=https%3A%2F%2Farchive.org%2Fdownload%2Fsonic-mana-original-soundtrack%2F1.06%2520Green%2520Hill%2520Zone%2520Act%25201.mp3
Type=8, X=5, Y=33
Type=0, X=0, Y=34
Type=0, X=2, Y=34
Type=0, X=4, Y=34
Type=0, X=6, Y=34
Type=0, X=8, Y=34
Type=0, X=10, Y=34
Type=0, X=6, Y=38
Type=0, X=8, Y=38
Type=0, X=0, Y=42
Type=0, X=3, Y=42
Type=0, X=5, Y=42
Type=0, X=0, Y=48
Type=0, X=7, Y=48
Type=0, X=3, Y=53
Type=0, X=0, Y=57
Type=0, X=6, Y=57
Type=0, X=8, Y=57
Type=0, X=0, Y=63
Type=0, X=5, Y=63
Type=0, X=3, Y=67
Type=0, X=5, Y=67
Type=0, X=7, Y=71
Type=0, X=0, Y=74
Type=7, X=6, Y=76
Type=0, X=6, Y=78
Type=0, X=8, Y=78
Type=1, X=3, Y=82
Type=0, X=0, Y=86
Type=0, X=2, Y=86
Type=3, X=7, Y=87
Type=3, X=7, Y=88
Type=0, X=7, Y=89
Type=3, X=7, Y=91
Type=3, X=7, Y=92
Type=0, X=0, Y=93
Type=0, X=2, Y=93
Type=3, X=7, Y=93
Type=0, X=7, Y=94
Type=3, X=4, Y=97
Type=0, X=1, Y=98
Type=0, X=4, Y=98
Type=0, X=7, Y=98
Type=0, X=4, Y=102
Type=5, X=8, Y=103
Type=0, X=6, Y=106
Type=10, X=1, Y=108
Type=0, X=0, Y=109
Type=0, X=4, Y=110
Type=3, X=3, Y=111
Type=3, X=7, Y=111
Type=3, X=3, Y=112
Type=3, X=7, Y=112
Type=3, X=3, Y=113
Type=3, X=7, Y=113
Type=3, X=3, Y=115
Type=3, X=7, Y=115
Type=3, X=3, Y=116
Type=3, X=7, Y=116
Type=3, X=3, Y=117
Type=3, X=7, Y=117
Type=0, X=0, Y=119
Type=4, X=2, Y=119
Type=4, X=7, Y=119
